epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,256.444,1.18528,3.01791,1.42367,0.1087,1,0.89786,0.65184,0.92466,3.863,1.27211,0.0002875,0.0002875,0.0002875
2,507.138,1.15245,2.21461,1.37735,0.06849,1,0.88,0.55113,1.33171,4.08882,1.79152,0.000581684,0.000581684,0.000581684
3,751.062,1.20348,1.85902,1.38538,0.91109,0.4,0.55974,0.32527,1.11316,3.78248,1.6139,0.000869928,0.000869928,0.000869928
4,988.463,1.24262,1.74698,1.41666,0.01961,1,0.895,0.5105,1.16263,3.86282,1.61783,0.00115223,0.00115223,0.00115223
5,1222.9,1.21427,1.70498,1.37541,1,0.38639,0.47621,0.37827,1.02996,3.81154,1.4593,0.0012005,0.0012005,0.0012005
6,1457.23,1.22865,1.56616,1.36499,1,0.60803,0.93786,0.63278,1.43186,3.04128,1.83268,0.00118812,0.00118812,0.00118812
7,1655.7,1.19369,1.47797,1.36717,0.59424,0.58847,0.7404,0.52705,1.17573,2.94025,1.56841,0.00117575,0.00117575,0.00117575
8,1836.44,1.21086,1.4371,1.3627,0.96967,0.4,0.54634,0.3817,1.43852,2.53119,1.92971,0.00116337,0.00116337,0.00116337
9,2015.46,1.21805,1.37308,1.37144,1,0.58935,0.79262,0.43907,1.6269,2.58228,2.20728,0.001151,0.001151,0.001151
10,2195.53,1.16167,1.29857,1.33334,1,0.74238,0.92,0.60135,1.1702,2.03998,1.41332,0.00113863,0.00113863,0.00113863
11,2376.39,1.16459,1.24537,1.32136,1,0.59938,0.85382,0.60991,1.12646,2.54659,1.47055,0.00112625,0.00112625,0.00112625
12,2556.26,1.1394,1.13728,1.28859,0.98227,1,0.995,0.63779,1.19135,1.42946,1.48245,0.00111388,0.00111388,0.00111388
13,2736.9,1.13376,1.15517,1.31546,0.68046,0.6,0.75929,0.41448,1.81096,2.04105,2.09764,0.0011015,0.0011015,0.0011015
14,2916.31,1.17017,1.16857,1.30479,1,0.59065,0.87833,0.53028,1.43479,2.0639,1.83527,0.00108913,0.00108913,0.00108913
15,3097.27,1.12565,1.08302,1.31228,1,0.98876,0.995,0.66973,1.04985,1.32201,1.39604,0.00107675,0.00107675,0.00107675
16,3275.95,1.10005,1.01168,1.27475,0.68964,0.45513,0.80591,0.40751,1.6903,2.56749,1.70505,0.00106437,0.00106437,0.00106437
17,3456.27,1.12441,1.04391,1.2931,1,0.59017,0.83071,0.6213,0.96043,2.43299,1.30299,0.001052,0.001052,0.001052
18,3643.22,1.13935,1.04644,1.29556,0.97591,0.4,0.59549,0.45023,1.1367,1.99168,1.56326,0.00103962,0.00103962,0.00103962
19,3824.57,1.09222,0.99958,1.31075,1,0.58793,0.75056,0.4782,1.25324,2.51004,1.43954,0.00102725,0.00102725,0.00102725
20,4003.78,1.07097,0.92952,1.29202,0.97711,0.8,0.90611,0.64344,1.2575,1.21199,1.61253,0.00101488,0.00101488,0.00101488
21,4182.28,1.12881,0.9556,1.29113,0.97564,0.4,0.58429,0.36177,1.35392,2.82908,1.53205,0.0010025,0.0010025,0.0010025
22,4358.61,1.08058,0.90459,1.2729,1,0.83564,0.995,0.69833,1.30275,2.06867,1.56691,0.000990125,0.000990125,0.000990125
23,4536.87,1.07882,0.8709,1.25861,1,0.93029,0.995,0.57514,1.48534,1.66301,1.60862,0.00097775,0.00097775,0.00097775
24,4714.23,1.0963,0.86125,1.25443,0.79332,0.77329,0.89786,0.6431,1.26231,1.61075,1.55869,0.000965375,0.000965375,0.000965375
