epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9824,1.2835,3.36834,1.54182,0.00976,1,0.995,0.78162,0.70341,3.88089,1.06442,8.75e-05,8.75e-05,8.75e-05
2,149.447,1.0851,3.08437,1.43765,0.01449,1,0.995,0.65968,0.75459,3.88081,1.07028,0.000185644,0.000185644,0.000185644
3,221.269,1.09541,2.93341,1.46531,0.03378,1,0.995,0.67439,0.84576,3.72681,1.15122,0.000281807,0.000281807,0.000281807
4,286.409,1.18147,2.70488,1.42093,0.04274,1,0.995,0.6105,1.04794,3.79245,1.42437,0.000375991,0.000375991,0.000375991
5,345.492,1.17801,2.43531,1.40119,0.04587,1,0.995,0.78491,0.82615,3.68184,1.17843,0.000468195,0.000468195,0.000468195
6,404.026,1.19967,2.28109,1.46001,0.05587,1,0.97682,0.6998,0.9728,3.36409,1.21046,0.000558419,0.000558419,0.000558419
7,465.684,1.28539,2.28001,1.53972,1,0.56374,0.995,0.78454,0.76336,3.08821,1.20084,0.000646662,0.000646662,0.000646662
8,546.639,1.23599,1.98408,1.4708,1,0.23273,0.96833,0.74629,0.91606,3.25494,1.29084,0.000732926,0.000732926,0.000732926
9,636.432,1.23985,1.89487,1.43666,1,0.80341,0.94763,0.74394,0.94534,2.83332,1.23998,0.00081721,0.00081721,0.00081721
10,724.343,1.15579,1.85037,1.39868,0.99943,0.6,0.83961,0.63045,0.99366,3.69701,1.35888,0.000899514,0.000899514,0.000899514
11,805.212,1.15886,1.78831,1.40716,0.71741,0.2,0.60072,0.46938,1.18366,4.14369,1.3904,0.000979838,0.000979838,0.000979838
12,884.64,1.2531,1.76111,1.40535,0.02941,0.9,0.61161,0.28689,1.43371,4.4473,1.50776,0.00105818,0.00105818,0.00105818
13,976.443,1.29795,1.90841,1.50132,1,0.2747,0.8534,0.56469,1.27922,4.06188,1.52629,0.0011015,0.0011015,0.0011015
14,1071.25,1.2978,1.90696,1.51465,0.86097,0.62144,0.88587,0.56396,1.43744,3.55463,1.67163,0.00108913,0.00108913,0.00108913
15,1149.66,1.22555,1.71503,1.44012,1,0.3318,0.87147,0.50153,1.48006,4.07082,1.72801,0.00107675,0.00107675,0.00107675
16,1222.37,1.17119,1.7293,1.41952,0.41642,0.8,0.49353,0.27575,1.64755,3.87167,1.96958,0.00106437,0.00106437,0.00106437
17,1304.06,1.15585,1.7995,1.37576,0.6808,0.4,0.72089,0.41656,1.63113,4.15292,2.02,0.001052,0.001052,0.001052
18,1385.63,1.20147,1.61422,1.37064,0.90892,0.7,0.86925,0.30676,2.37281,3.27973,2.36553,0.00103962,0.00103962,0.00103962
19,1469.14,1.16425,1.63354,1.33107,0.97479,0.8,0.90448,0.37376,2.05998,2.7138,2.04478,0.00102725,0.00102725,0.00102725
20,1557.22,1.21685,1.56852,1.42887,0.97931,0.8,0.89929,0.46614,1.66465,2.70571,1.77581,0.00101488,0.00101488,0.00101488
21,1637.33,1.15773,1.50252,1.36098,1,0.79781,0.95643,0.41712,1.78598,2.47761,1.85226,0.0010025,0.0010025,0.0010025
22,1701.43,1.26827,1.5555,1.43883,1,0.88333,0.97192,0.58277,1.34432,1.89738,1.60114,0.000990125,0.000990125,0.000990125
23,1765.13,1.14636,1.49333,1.37206,0.99626,1,0.995,0.6547,1.3031,1.58606,1.61137,0.00097775,0.00097775,0.00097775
24,1838.51,1.19678,1.56472,1.39951,0.97555,1,0.995,0.53828,1.56938,1.83321,1.68864,0.000965375,0.000965375,0.000965375
25,1901.97,1.15488,1.43142,1.33629,0.99583,1,0.995,0.82521,0.72408,1.39663,1.27111,0.000953,0.000953,0.000953
26,1971.2,1.15057,1.53968,1.42318,0.99372,1,0.995,0.77296,0.88752,1.3784,1.25219,0.000940625,0.000940625,0.000940625
27,2037.43,1.07869,1.44439,1.35316,0.99433,1,0.995,0.70926,1.15019,1.27124,1.3285,0.00092825,0.00092825,0.00092825
28,2105.87,1.19595,1.37126,1.38509,0.99743,1,0.995,0.80358,0.84497,1.10462,1.21261,0.000915875,0.000915875,0.000915875
29,2197.59,1.07578,1.42851,1.35396,0.99806,1,0.995,0.85629,0.68734,1.08206,1.10728,0.0009035,0.0009035,0.0009035
30,2272.2,1.09429,1.43328,1.32265,0.99749,1,0.995,0.83254,0.81936,1.08407,1.15504,0.000891125,0.000891125,0.000891125
31,2334.08,0.98174,1.28734,1.28841,0.99456,1,0.995,0.67851,1.14327,1.19625,1.38217,0.00087875,0.00087875,0.00087875
32,2396.21,1.02371,1.26035,1.30532,0.9976,1,0.995,0.74128,1.00876,1.26712,1.41216,0.000866375,0.000866375,0.000866375
33,2463.62,1.00869,1.23846,1.29794,0.99712,1,0.995,0.76798,0.98116,1.26523,1.33345,0.000854,0.000854,0.000854
34,2535.43,1.10889,1.40008,1.37386,0.95608,1,0.995,0.72225,1.00337,1.38164,1.3499,0.000841625,0.000841625,0.000841625
35,2596.33,1.02843,1.26335,1.30026,1,0.96416,0.995,0.63568,1.21274,1.71848,1.46344,0.00082925,0.00082925,0.00082925
36,2657.3,1.05531,1.25703,1.33012,1,0.97764,0.995,0.67793,1.15501,1.40278,1.38752,0.000816875,0.000816875,0.000816875
37,2718.16,1.0921,1.24042,1.36447,0.95062,1,0.995,0.74657,0.95907,1.2727,1.25698,0.0008045,0.0008045,0.0008045
38,2780.44,1.08023,1.11576,1.26543,0.99924,1,0.995,0.73202,1.0369,1.08167,1.23844,0.000792125,0.000792125,0.000792125
39,2841.67,1.04243,1.23339,1.33689,0.99641,1,0.995,0.70106,1.18173,1.1882,1.31531,0.00077975,0.00077975,0.00077975
40,2902.02,1.06749,1.13105,1.31965,1,0.9989,0.995,0.70532,1.07438,1.25544,1.25316,0.000767375,0.000767375,0.000767375
41,2963.45,1.04689,1.16884,1.34838,1,0.99193,0.995,0.72948,0.95044,1.41618,1.2207,0.000755,0.000755,0.000755
42,3026.34,1.12757,1.21652,1.36481,1,0.96663,0.995,0.53973,1.6202,1.96718,1.59229,0.000742625,0.000742625,0.000742625
43,3087.07,0.98202,1.05974,1.26412,1,0.87306,0.9575,0.59862,1.46365,1.91436,1.40465,0.00073025,0.00073025,0.00073025
44,3147.04,0.9883,1.04893,1.26207,1,0.98341,0.995,0.7966,0.73309,1.32158,1.17717,0.000717875,0.000717875,0.000717875
45,3208.86,0.97987,1.13037,1.23793,0.9068,0.97484,0.98591,0.81424,0.79185,1.33988,1.17416,0.0007055,0.0007055,0.0007055
46,3269.68,0.98928,1.06121,1.2807,0.90815,0.98962,0.98591,0.76923,0.87051,1.19152,1.20046,0.000693125,0.000693125,0.000693125
47,3330.97,1.02623,1.11587,1.32335,0.90848,0.99326,0.98591,0.80312,0.86809,1.03674,1.20227,0.00068075,0.00068075,0.00068075
48,3394.13,0.99943,1.05774,1.24571,1,0.99609,0.995,0.82155,0.86587,0.94853,1.20096,0.000668375,0.000668375,0.000668375
49,3455.34,1.02073,1.08633,1.2714,1,0.986,0.995,0.81067,0.80995,0.87591,1.19552,0.000656,0.000656,0.000656
50,3516.11,0.96142,0.99217,1.25076,0.90519,1,0.995,0.77426,0.8717,0.87461,1.19348,0.000643625,0.000643625,0.000643625
51,3578.59,0.95958,0.96612,1.22943,0.9531,1,0.995,0.73972,0.86793,0.88863,1.1658,0.00063125,0.00063125,0.00063125
52,3639.11,0.96337,0.97016,1.21094,0.98623,1,0.995,0.81837,0.73774,0.85294,1.09933,0.000618875,0.000618875,0.000618875
53,3700.07,0.98639,1.06581,1.25999,0.99423,1,0.995,0.81627,0.7578,0.85043,1.11722,0.0006065,0.0006065,0.0006065
54,3761.26,1.02495,1.12611,1.32739,1,0.98606,0.995,0.72901,0.88281,0.99058,1.14466,0.000594125,0.000594125,0.000594125
